population_size,num_samples,r,seq_len,model,d,t1,t2
1000000.0,2,1e-08,1000000.0,smck_10,1.0,755228.6585173487,755228.6585173487
1000000.0,2,1e-08,1000000.0,smck_10,1.0,792633.0058152173,792633.0058152173
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1615592.5040568428,1615592.5040568428
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1844533.2081488706,1844533.2081488706
1000000.0,2,1e-08,1000000.0,smck_10,1.0,4189864.9318921175,4189864.9318921175
1000000.0,2,1e-08,1000000.0,smck_10,1.0,220697.80486984673,220697.80486984673
1000000.0,2,1e-08,1000000.0,smck_10,1.0,915952.3714688316,1976442.3059789927
1000000.0,2,1e-08,1000000.0,smck_10,1.0,763292.5058270707,763292.5058270707
1000000.0,2,1e-08,1000000.0,smck_10,1.0,6326612.759244212,6326612.759244212
1000000.0,2,1e-08,1000000.0,smck_10,1.0,211957.39389797518,211957.39389797518
1000000.0,2,1e-08,1000000.0,smck_10,1.0,340409.5113395736,340409.5113395736
1000000.0,2,1e-08,1000000.0,smck_10,1.0,3154754.1608577953,3154754.1608577953
1000000.0,2,1e-08,1000000.0,smck_10,1.0,63819.085149278355,63819.085149278355
1000000.0,2,1e-08,1000000.0,smck_10,1.0,204206.13359141746,1852065.9951435258
1000000.0,2,1e-08,1000000.0,smck_10,1.0,4852354.869545982,4852354.869545982
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2816604.565876908,2816604.565876908
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1467136.025096676,1467136.025096676
1000000.0,2,1e-08,1000000.0,smck_10,1.0,795663.8456028538,795663.8456028538
1000000.0,2,1e-08,1000000.0,smck_10,1.0,9220629.393001353,9220629.393001353
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2615286.7612672374,2615286.7612672374
1000000.0,2,1e-08,1000000.0,smck_10,1.0,279041.28055055084,279041.28055055084
1000000.0,2,1e-08,1000000.0,smck_10,1.0,709393.8723737964,709393.8723737964
1000000.0,2,1e-08,1000000.0,smck_10,1.0,4636220.55882654,4636220.55882654
1000000.0,2,1e-08,1000000.0,smck_10,1.0,442529.07843713206,442529.07843713206
1000000.0,2,1e-08,1000000.0,smck_10,1.0,6202367.94502201,6202367.94502201
